Record,First Atom,Second Atom,First Element,Second Element,Bond Order Type,Bond Length,Bond Stereochemistry,Is Aromatic
1,N,CA,N,C,sing,1.46,N,N
2,N,H,N,H,sing,1.0,N,N
3,N,H2,N,H,sing,1.0,N,N
4,CA,C,C,C,sing,1.52,N,N
5,CA,CB,C,C,sing,1.54,N,N
6,CA,HA,C,H,sing,1.1,N,N
7,C,O,C,O,doub,1.22,N,N
8,C,OXT,C,O,sing,1.36,N,N
9,CB,CG,C,C,sing,1.54,N,N
10,CB,HB2,C,H,sing,1.1,N,N
11,CB,HB3,C,H,sing,1.1,N,N
12,CG,CD,C,C,sing,1.53,N,N
13,CG,HG2,C,H,sing,1.1,N,N
14,CG,HG3,C,H,sing,1.1,N,N
15,CD,NE,C,N,sing,1.44,N,N
16,CD,HD2,C,H,sing,1.1,N,N
17,CD,HD3,C,H,sing,1.1,N,N
18,NE,CZ,N,C,sing,1.41,N,N
19,NE,HE,N,H,sing,1.03,N,N
20,CZ,NH1,C,N,sing,1.39,N,N
21,CZ,NH2,C,N,doub,1.39,N,N
22,NH1,HH11,N,H,sing,1.02,N,N
23,NH1,HH12,N,H,sing,1.02,N,N
24,NH2,HH21,N,H,sing,1.02,N,N
25,NH2,HH22,N,H,sing,1.02,N,N
26,OXT,HXT,O,H,sing,0.98,N,N
