Record,First Atom,Second Atom,First Element,Second Element,Bond Order Type,Bond Length,Bond Stereochemistry,Is Aromatic
1,N,CA,N,C,sing,1.44,N,N
2,N,H,N,H,sing,1.01,N,N
3,N,H2,N,H,sing,1.01,N,N
4,CA,C,C,C,sing,1.52,N,N
5,CA,CB,C,C,sing,1.53,N,N
6,CA,HA,C,H,sing,1.1,N,N
7,C,O,C,O,doub,1.23,N,N
8,C,OXT,C,O,sing,1.36,N,N
9,CB,CG,C,C,sing,1.51,N,N
10,CB,HB2,C,H,sing,1.1,N,N
11,CB,HB3,C,H,sing,1.1,N,N
12,CG,ND1,C,N,sing,1.35,N,Y
13,CG,CD2,C,C,doub,1.34,N,Y
14,ND1,CE1,N,C,doub,1.34,N,Y
15,ND1,HD1,N,H,sing,1.02,N,N
16,CD2,NE2,C,N,sing,1.37,N,Y
17,CD2,HD2,C,H,sing,1.07,N,N
18,CE1,NE2,C,N,sing,1.34,N,Y
19,CE1,HE1,C,H,sing,1.08,N,N
20,NE2,HE2,N,H,sing,1.02,N,N
21,OXT,HXT,O,H,sing,0.98,N,N
