Record,First Atom,Second Atom,First Element,Second Element,Bond Order Type,Bond Length,Bond Stereochemistry,Is Aromatic
1,CB2,CG2,C,C,sing,1.53,N,N
2,CB2,HB12,C,H,sing,1.09,N,N
3,CB2,HB22,C,H,sing,1.09,N,N
4,CB2,HB32,C,H,sing,1.09,N,N
5,CG2,CD2,C,C,sing,1.55,N,N
6,CG2,CA2,C,C,sing,1.55,N,N
7,CG2,HG22,C,H,sing,1.09,N,N
8,CD2,CE2,C,C,sing,1.51,N,N
9,CD2,HD32,C,H,sing,1.09,N,N
10,CD2,HD22,C,H,sing,1.09,N,N
11,CE2,N2,C,N,doub,1.27,N,N
12,CE2,HE22,C,H,sing,1.08,N,N
13,N2,CA2,N,C,sing,1.47,N,N
14,CA2,C2,C,C,sing,1.51,N,N
15,CA2,HA2,C,H,sing,1.09,N,N
16,C2,NZ,C,N,sing,1.35,N,N
17,C2,O2,C,O,doub,1.21,N,N
18,NZ,CE,N,C,sing,1.47,N,N
19,NZ,HZ,N,H,sing,0.97,N,N
20,CE,CD,C,C,sing,1.53,N,N
21,CE,HE3,C,H,sing,1.09,N,N
22,CE,HE2,C,H,sing,1.09,N,N
23,CD,CG,C,C,sing,1.53,N,N
24,CD,HD3,C,H,sing,1.09,N,N
25,CD,HD2,C,H,sing,1.09,N,N
26,CG,CB,C,C,sing,1.53,N,N
27,CG,HG3,C,H,sing,1.09,N,N
28,CG,HG2,C,H,sing,1.09,N,N
29,CB,CA,C,C,sing,1.53,N,N
30,CB,HB3,C,H,sing,1.09,N,N
31,CB,HB2,C,H,sing,1.09,N,N
32,CA,C,C,C,sing,1.51,N,N
33,CA,HA,C,H,sing,1.09,N,N
34,CA,N,C,N,sing,1.47,N,N
35,C,OXT,C,O,sing,1.34,N,N
36,C,O,C,O,doub,1.21,N,N
37,OXT,HXT,O,H,sing,0.97,N,N
38,N,H,N,H,sing,1.01,N,N
39,N,H2,N,H,sing,1.01,N,N
