Record,First Atom,Second Atom,First Element,Second Element,Bond Order Type,Bond Length,Bond Stereochemistry,Is Aromatic
1,N,CA,N,C,sing,1.47,N,N
2,N,H,N,H,sing,1.01,N,N
3,N,H2,N,H,sing,1.01,N,N
4,CA,C,C,C,sing,1.51,N,N
5,CA,CB,C,C,sing,1.53,N,N
6,CA,HA,C,H,sing,1.09,N,N
7,C,O,C,O,doub,1.21,N,N
8,C,OXT,C,O,sing,1.34,N,N
9,CB,CG,C,C,sing,1.51,N,N
10,CB,HB2,C,H,sing,1.09,N,N
11,CB,HB3,C,H,sing,1.09,N,N
12,CG,CD1,C,C,doub,1.34,N,Y
13,CG,CD2,C,C,sing,1.46,N,Y
14,CD1,NE1,C,N,sing,1.37,N,Y
15,CD1,HD1,C,H,sing,1.08,N,N
16,CD2,CE2,C,C,doub,1.41,N,Y
17,CD2,CE3,C,C,sing,1.4,N,Y
18,NE1,CE2,N,C,sing,1.38,N,Y
19,NE1,HE1,N,H,sing,0.97,N,N
20,CE2,CZ2,C,C,sing,1.39,N,Y
21,CE3,CZ3,C,C,doub,1.37,N,Y
22,CE3,HE3,C,H,sing,1.08,N,N
23,CZ2,CH2,C,C,doub,1.38,N,Y
24,CZ2,HZ2,C,H,sing,1.08,N,N
25,CZ3,CH2,C,C,sing,1.39,N,Y
26,CZ3,HZ3,C,H,sing,1.08,N,N
27,CH2,HH2,C,H,sing,1.08,N,N
28,OXT,HXT,O,H,sing,0.97,N,N
